geoName,geoCode,Haussanierung
Baden-Württemberg,DE-BW,37
Bavaria,DE-BY,49
Berlin,DE-BE,14
Brandenburg,DE-BB,68
Bremen,DE-HB,100
Hamburg,DE-HH,31
Hesse,DE-HE,50
Lower Saxony,DE-NI,31
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,39
Rhineland-Palatinate,DE-RP,36
Saarland,DE-SL,0
Saxony,DE-SN,81
Saxony-Anhalt,DE-ST,84
Schleswig-Holstein,DE-SH,38
Thuringia,DE-TH,42
