,geoName,climatiseur split
3,Brittany,8.0
5,Centre-Val de Loire,37.0
7,Corsica,100.0
15,Pays de la Loire,9.0
18,Provence-Alpes-Côte d'Azur,28.0
21,Île-de-France,24.0
22,Grand-est,20.0
23,Hauts-de-france,15.5
24,Normandie,7.0
25,Bourgogne-Franche-Comté,16.0
26,Nouvelle-Aquitaine,21.0
27,Occitanie,18.0
28,Auvergne-Rhône-Alpes,28.5
