geoName,geoCode,Metallbearbeitung
Baden-Württemberg,DE-BW,39
Bavaria,DE-BY,25
Berlin,DE-BE,24
Brandenburg,DE-BB,23
Bremen,DE-HB,100
Hamburg,DE-HH,10
Hesse,DE-HE,23
Lower Saxony,DE-NI,15
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,22
Rhineland-Palatinate,DE-RP,6
Saarland,DE-SL,26
Saxony,DE-SN,33
Saxony-Anhalt,DE-ST,14
Schleswig-Holstein,DE-SH,13
Thuringia,DE-TH,70
