geoName,geoCode,Ernährungsberater
Baden-Württemberg,DE-BW,66
Bavaria,DE-BY,66
Berlin,DE-BE,44
Brandenburg,DE-BB,55
Bremen,DE-HB,75
Hamburg,DE-HH,67
Hesse,DE-HE,66
Lower Saxony,DE-NI,43
Mecklenburg-Vorpommern,DE-MV,64
North Rhine-Westphalia,DE-NW,49
Rhineland-Palatinate,DE-RP,56
Saarland,DE-SL,100
Saxony,DE-SN,47
Saxony-Anhalt,DE-ST,26
Schleswig-Holstein,DE-SH,47
Thuringia,DE-TH,55
