geoName,geoCode,Malerbetrieb
Baden-Württemberg,DE-BW,41
Bavaria,DE-BY,64
Berlin,DE-BE,13
Brandenburg,DE-BB,27
Bremen,DE-HB,35
Hamburg,DE-HH,40
Hesse,DE-HE,49
Lower Saxony,DE-NI,53
Mecklenburg-Vorpommern,DE-MV,48
North Rhine-Westphalia,DE-NW,76
Rhineland-Palatinate,DE-RP,67
Saarland,DE-SL,100
Saxony,DE-SN,42
Saxony-Anhalt,DE-ST,45
Schleswig-Holstein,DE-SH,36
Thuringia,DE-TH,26
