geoName,geoCode,Baumeister
Baden-Württemberg,DE-BW,67
Bavaria,DE-BY,78
Berlin,DE-BE,63
Brandenburg,DE-BB,87
Bremen,DE-HB,47
Hamburg,DE-HH,58
Hesse,DE-HE,58
Lower Saxony,DE-NI,71
Mecklenburg-Vorpommern,DE-MV,51
North Rhine-Westphalia,DE-NW,100
Rhineland-Palatinate,DE-RP,61
Saarland,DE-SL,75
Saxony,DE-SN,84
Saxony-Anhalt,DE-ST,74
Schleswig-Holstein,DE-SH,66
Thuringia,DE-TH,74
