geoName,geoCode,torta limone
Abruzzo,IT-65,57
Aosta,IT-23,51
Apulia,IT-75,55
Basilicata,IT-77,65
Calabria,IT-78,94
Campania,IT-72,59
Emilia-Romagna,IT-45,55
Friuli-Venezia Giulia,IT-36,48
Lazio,IT-62,42
Liguria,IT-42,82
Lombardy,IT-25,55
Marche,IT-57,47
Molise,IT-67,64
Piedmont,IT-21,59
Sardinia,IT-88,100
Sicily,IT-82,91
Trentino-Alto Adige/South Tyrol,IT-32,27
Tuscany,IT-52,54
Umbria,IT-55,47
Veneto,IT-34,47
