geoName,geoCode,Garten Sichtschutz
Burgenland,AT-1,39
Carinthia,AT-2,57
Lower Austria,AT-3,55
Salzburg,AT-5,73
Styria,AT-6,62
Tyrol,AT-7,65
Upper Austria,AT-4,76
Vienna,AT-9,40
Vorarlberg,AT-8,100
