date,organizzazione di eventi,isPartial
2018-01-07,66,False
2018-01-14,28,False
2018-01-21,46,False
2018-01-28,84,False
2018-02-04,36,False
2018-02-11,56,False
2018-02-18,36,False
2018-02-25,71,False
2018-03-04,54,False
2018-03-11,55,False
2018-03-18,36,False
2018-03-25,38,False
2018-04-01,20,False
2018-04-08,55,False
2018-04-15,75,False
2018-04-22,59,False
2018-04-29,19,False
2018-05-06,47,False
2018-05-13,74,False
2018-05-20,38,False
2018-05-27,75,False
2018-06-03,28,False
2018-06-10,18,False
2018-06-17,83,False
2018-06-24,28,False
2018-07-01,93,False
2018-07-08,37,False
2018-07-15,47,False
2018-07-22,66,False
2018-07-29,29,False
2018-08-05,20,False
2018-08-12,31,False
2018-08-19,21,False
2018-08-26,39,False
2018-09-02,18,False
2018-09-09,100,False
2018-09-16,53,False
2018-09-23,45,False
2018-09-30,45,False
2018-10-07,47,False
2018-10-14,75,False
2018-10-21,37,False
2018-10-28,55,False
2018-11-04,53,False
2018-11-11,28,False
2018-11-18,18,False
2018-11-25,28,False
2018-12-02,28,False
2018-12-09,19,False
2018-12-16,39,False
2018-12-23,33,False
2018-12-30,41,False
2019-01-06,65,False
2019-01-13,45,False
2019-01-20,35,False
2019-01-27,59,False
2019-02-03,71,False
2019-02-10,27,False
2019-02-17,37,False
2019-02-24,27,False
2019-03-03,47,False
2019-03-10,54,False
2019-03-17,65,False
2019-03-24,19,False
2019-03-31,56,False
2019-04-07,81,False
2019-04-14,19,False
2019-04-21,30,False
2019-04-28,18,False
2019-05-05,35,False
2019-05-12,44,False
2019-05-19,43,False
2019-05-26,68,False
2019-06-02,63,False
2019-06-09,36,False
2019-06-16,18,False
2019-06-23,19,False
2019-06-30,28,False
2019-07-07,73,False
2019-07-14,28,False
2019-07-21,47,False
2019-07-28,28,False
2019-08-04,39,False
2019-08-11,21,False
2019-08-18,20,False
2019-08-25,54,False
2019-09-01,67,False
2019-09-08,53,False
2019-09-15,68,False
2019-09-22,33,False
2019-09-29,34,False
2019-10-06,69,False
2019-10-13,52,False
2019-10-20,59,False
2019-10-27,50,False
2019-11-03,17,False
2019-11-10,58,False
2019-11-17,100,False
2019-11-24,81,False
2019-12-01,34,False
2019-12-08,35,False
2019-12-15,43,False
2019-12-22,0,False
2019-12-29,28,False
2020-01-05,34,False
2020-01-12,64,False
2020-01-19,56,False
2020-01-26,31,False
2020-02-02,63,False
2020-02-09,65,False
2020-02-16,48,False
2020-02-23,30,False
2020-03-01,22,False
2020-03-08,22,False
2020-03-15,15,False
2020-03-22,34,False
2020-03-29,0,False
2020-04-05,29,False
2020-04-12,15,False
2020-04-19,14,False
2020-04-26,49,True
