geoName,geoCode,Swing
Abruzzo,IT-65,52
Aosta,IT-23,100
Apulia,IT-75,47
Basilicata,IT-77,50
Calabria,IT-78,41
Campania,IT-72,46
Emilia-Romagna,IT-45,70
Friuli-Venezia Giulia,IT-36,44
Lazio,IT-62,62
Liguria,IT-42,65
Lombardy,IT-25,52
Marche,IT-57,57
Molise,IT-67,59
Piedmont,IT-21,57
Sardinia,IT-88,51
Sicily,IT-82,47
Trentino-Alto Adige/South Tyrol,IT-32,49
Tuscany,IT-52,53
Umbria,IT-55,39
Veneto,IT-34,50
