date,Swing,isPartial
2018-01-07,74,False
2018-01-14,80,False
2018-01-21,78,False
2018-01-28,68,False
2018-02-04,85,False
2018-02-11,76,False
2018-02-18,71,False
2018-02-25,80,False
2018-03-04,72,False
2018-03-11,88,False
2018-03-18,86,False
2018-03-25,64,False
2018-04-01,71,False
2018-04-08,77,False
2018-04-15,71,False
2018-04-22,66,False
2018-04-29,86,False
2018-05-06,85,False
2018-05-13,79,False
2018-05-20,72,False
2018-05-27,68,False
2018-06-03,74,False
2018-06-10,77,False
2018-06-17,88,False
2018-06-24,59,False
2018-07-01,67,False
2018-07-08,70,False
2018-07-15,69,False
2018-07-22,76,False
2018-07-29,83,False
2018-08-05,68,False
2018-08-12,74,False
2018-08-19,74,False
2018-08-26,81,False
2018-09-02,86,False
2018-09-09,75,False
2018-09-16,79,False
2018-09-23,97,False
2018-09-30,83,False
2018-10-07,71,False
2018-10-14,85,False
2018-10-21,76,False
2018-10-28,90,False
2018-11-04,79,False
2018-11-11,74,False
2018-11-18,71,False
2018-11-25,81,False
2018-12-02,84,False
2018-12-09,84,False
2018-12-16,59,False
2018-12-23,80,False
2018-12-30,85,False
2019-01-06,76,False
2019-01-13,69,False
2019-01-20,82,False
2019-01-27,63,False
2019-02-03,76,False
2019-02-10,80,False
2019-02-17,81,False
2019-02-24,77,False
2019-03-03,69,False
2019-03-10,79,False
2019-03-17,82,False
2019-03-24,90,False
2019-03-31,84,False
2019-04-07,71,False
2019-04-14,72,False
2019-04-21,81,False
2019-04-28,80,False
2019-05-05,79,False
2019-05-12,83,False
2019-05-19,76,False
2019-05-26,78,False
2019-06-02,78,False
2019-06-09,90,False
2019-06-16,82,False
2019-06-23,81,False
2019-06-30,93,False
2019-07-07,86,False
2019-07-14,73,False
2019-07-21,77,False
2019-07-28,76,False
2019-08-04,74,False
2019-08-11,93,False
2019-08-18,85,False
2019-08-25,83,False
2019-09-01,71,False
2019-09-08,81,False
2019-09-15,77,False
2019-09-22,89,False
2019-09-29,100,False
2019-10-06,79,False
2019-10-13,69,False
2019-10-20,81,False
2019-10-27,92,False
2019-11-03,71,False
2019-11-10,81,False
2019-11-17,75,False
2019-11-24,80,False
2019-12-01,69,False
2019-12-08,76,False
2019-12-15,68,False
2019-12-22,76,False
2019-12-29,73,False
2020-01-05,74,False
2020-01-12,86,False
2020-01-19,75,False
2020-01-26,77,False
2020-02-02,81,False
2020-02-09,65,False
2020-02-16,74,False
2020-02-23,55,False
2020-03-01,63,False
2020-03-08,46,False
2020-03-15,48,False
2020-03-22,64,False
2020-03-29,71,False
2020-04-05,72,False
2020-04-12,60,False
2020-04-19,82,False
2020-04-26,72,True
