geoName,geoCode,Ford Schlüssel
Baden-Württemberg,DE-BW,29
Bavaria,DE-BY,63
Berlin,DE-BE,29
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,0
Hesse,DE-HE,57
Lower Saxony,DE-NI,68
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,100
Rhineland-Palatinate,DE-RP,79
Saarland,DE-SL,0
Saxony,DE-SN,57
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,90
Thuringia,DE-TH,0
