geoName,geoCode,Klimaanlage Haus
Baden-Württemberg,DE-BW,34
Bavaria,DE-BY,30
Berlin,DE-BE,31
Brandenburg,DE-BB,100
Bremen,DE-HB,87
Hamburg,DE-HH,55
Hesse,DE-HE,48
Lower Saxony,DE-NI,92
Mecklenburg-Vorpommern,DE-MV,50
North Rhine-Westphalia,DE-NW,46
Rhineland-Palatinate,DE-RP,68
Saarland,DE-SL,0
Saxony,DE-SN,33
Saxony-Anhalt,DE-ST,56
Schleswig-Holstein,DE-SH,22
Thuringia,DE-TH,37
