,geoName,jardinage pour petit
3,Brittany,
5,Centre-Val de Loire,
7,Corsica,
15,Pays de la Loire,
18,Provence-Alpes-Côte d'Azur,
21,Île-de-France,
22,Grand-est,
23,Hauts-de-france,
24,Normandie,
25,Bourgogne-Franche-Comté,
26,Nouvelle-Aquitaine,
27,Occitanie,
28,Auvergne-Rhône-Alpes,
