date,Granit Arbeitsplatte Küche,isPartial
2018-01-07,84,False
2018-01-14,47,False
2018-01-21,63,False
2018-01-28,52,False
2018-02-04,32,False
2018-02-11,48,False
2018-02-18,75,False
2018-02-25,74,False
2018-03-04,63,False
2018-03-11,74,False
2018-03-18,53,False
2018-03-25,68,False
2018-04-01,68,False
2018-04-08,55,False
2018-04-15,78,False
2018-04-22,43,False
2018-04-29,33,False
2018-05-06,68,False
2018-05-13,48,False
2018-05-20,34,False
2018-05-27,33,False
2018-06-03,64,False
2018-06-10,62,False
2018-06-17,53,False
2018-06-24,33,False
2018-07-01,48,False
2018-07-08,32,False
2018-07-15,66,False
2018-07-22,55,False
2018-07-29,50,False
2018-08-05,33,False
2018-08-12,67,False
2018-08-19,33,False
2018-08-26,33,False
2018-09-02,33,False
2018-09-09,64,False
2018-09-16,48,False
2018-09-23,65,False
2018-09-30,48,False
2018-10-07,80,False
2018-10-14,32,False
2018-10-21,32,False
2018-10-28,47,False
2018-11-04,46,False
2018-11-11,74,False
2018-11-18,30,False
2018-11-25,62,False
2018-12-02,62,False
2018-12-09,31,False
2018-12-16,53,False
2018-12-23,37,False
2018-12-30,78,False
2019-01-06,79,False
2019-01-13,39,False
2019-01-20,29,False
2019-01-27,68,False
2019-02-03,60,False
2019-02-10,61,False
2019-02-17,51,False
2019-02-24,46,False
2019-03-03,70,False
2019-03-10,59,False
2019-03-17,62,False
2019-03-24,41,False
2019-03-31,31,False
2019-04-07,76,False
2019-04-14,67,False
2019-04-21,0,False
2019-04-28,70,False
2019-05-05,40,False
2019-05-12,61,False
2019-05-19,45,False
2019-05-26,62,False
2019-06-02,61,False
2019-06-09,47,False
2019-06-16,31,False
2019-06-23,62,False
2019-06-30,31,False
2019-07-07,60,False
2019-07-14,63,False
2019-07-21,100,False
2019-07-28,32,False
2019-08-04,76,False
2019-08-11,46,False
2019-08-18,48,False
2019-08-25,31,False
2019-09-01,30,False
2019-09-08,61,False
2019-09-15,61,False
2019-09-22,44,False
2019-09-29,75,False
2019-10-06,59,False
2019-10-13,29,False
2019-10-20,44,False
2019-10-27,77,False
2019-11-03,37,False
2019-11-10,85,False
2019-11-17,42,False
2019-11-24,55,False
2019-12-01,47,False
2019-12-08,57,False
2019-12-15,29,False
2019-12-22,33,False
2019-12-29,77,False
2020-01-05,41,False
2020-01-12,39,False
2020-01-19,41,False
2020-01-26,54,False
2020-02-02,45,False
2020-02-09,53,False
2020-02-16,73,False
2020-02-23,27,False
2020-03-01,79,False
2020-03-08,37,False
2020-03-15,24,False
2020-03-22,24,False
2020-03-29,60,False
2020-04-05,53,False
2020-04-12,25,False
2020-04-19,25,False
2020-04-26,56,False
2020-05-03,49,False
2020-05-10,49,False
