geoName,geoCode,Hausmeister
Baden-Württemberg,DE-BW,52
Bavaria,DE-BY,59
Berlin,DE-BE,49
Brandenburg,DE-BB,80
Bremen,DE-HB,47
Hamburg,DE-HH,55
Hesse,DE-HE,56
Lower Saxony,DE-NI,55
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,54
Rhineland-Palatinate,DE-RP,56
Saarland,DE-SL,54
Saxony,DE-SN,77
Saxony-Anhalt,DE-ST,75
Schleswig-Holstein,DE-SH,56
Thuringia,DE-TH,85
