geoName,geoCode,Blumen
Aargau,CH-AG,71
Appenzell Innerrhoden,CH-AI,100
Appenzell Outer Rhodes,CH-AR,73
Basel-Landschaft,CH-BL,83
Basel-Stadt,CH-BS,59
Canton of Bern,CH-BE,80
Canton of Fribourg,CH-FR,20
Canton of Glarus,CH-GL,76
Canton of Jura,CH-JU,12
Canton of Neuchâtel,CH-NE,12
Canton of Obwalden,CH-OW,81
Canton of Schaffhausen,CH-SH,77
Canton of Schwyz,CH-SZ,74
Canton of Solothurn,CH-SO,86
Canton of Uri,CH-UR,90
Canton of Zug,CH-ZG,61
Geneva,CH-GE,3
Grisons,CH-GR,53
Lucerne,CH-LU,77
Nidwalden,CH-NW,72
St. Gallen,CH-SG,78
Thurgau,CH-TG,85
Ticino,CH-TI,8
Valais,CH-VS,19
Vaud,CH-VD,11
Zurich,CH-ZH,65
