geoName,geoCode,Spannrahmen
Burgenland,AT-1,0
Carinthia,AT-2,0
Lower Austria,AT-3,28
Salzburg,AT-5,0
Styria,AT-6,20
Tyrol,AT-7,0
Upper Austria,AT-4,9
Vienna,AT-9,5
Vorarlberg,AT-8,100
