date,piscine
2018-01-07,0.125
2018-01-14,0.125
2018-01-21,0.125
2018-01-28,0.115
2018-02-04,0.115
2018-02-11,0.17
2018-02-18,0.175
2018-02-25,0.135
2018-03-04,0.15
2018-03-11,0.165
2018-03-18,0.15
2018-03-25,0.165
2018-04-01,0.18
2018-04-08,0.21
2018-04-15,0.31
2018-04-22,0.26
2018-04-29,0.235
2018-05-06,0.34
2018-05-13,0.195
2018-05-20,0.265
2018-05-27,0.23
2018-06-03,0.255
2018-06-10,0.24
2018-06-17,0.375
2018-06-24,0.515
2018-07-01,0.51
2018-07-08,0.485
2018-07-15,0.385
2018-07-22,0.47
2018-07-29,0.64
2018-08-05,0.495
2018-08-12,0.355
2018-08-19,0.32
2018-08-26,0.235
2018-09-02,0.22
2018-09-09,0.225
2018-09-16,0.175
2018-09-23,0.155
2018-09-30,0.115
2018-10-07,0.115
2018-10-14,0.13
2018-10-21,0.145
2018-10-28,0.15
2018-11-04,0.115
2018-11-11,0.105
2018-11-18,0.085
2018-11-25,0.08
2018-12-02,0.09
2018-12-09,0.08
2018-12-16,0.09
2018-12-23,0.13
2018-12-30,0.15
2019-01-06,0.11
2019-01-13,0.12
2019-01-20,0.115
2019-01-27,0.115
2019-02-03,0.12
2019-02-10,0.145
2019-02-17,0.19
2019-02-24,0.195
2019-03-03,0.155
2019-03-10,0.165
2019-03-17,0.195
2019-03-24,0.2
2019-03-31,0.175
2019-04-07,0.165
2019-04-14,0.23
2019-04-21,0.24
2019-04-28,0.215
2019-05-05,0.225
2019-05-12,0.19
2019-05-19,0.205
2019-05-26,0.38
2019-06-02,0.44
2019-06-09,0.28
2019-06-16,0.425
2019-06-23,1.0
2019-06-30,0.665
2019-07-07,0.49
2019-07-14,0.445
2019-07-21,0.565
2019-07-28,0.335
2019-08-04,0.395
2019-08-11,0.275
2019-08-18,0.275
2019-08-25,0.315
2019-09-01,0.235
2019-09-08,0.21
2019-09-15,0.21
2019-09-22,0.145
2019-09-29,0.135
2019-10-06,0.13
2019-10-13,0.135
2019-10-20,0.165
2019-10-27,0.16
2019-11-03,0.115
2019-11-10,0.11
2019-11-17,0.095
2019-11-24,0.105
2019-12-01,0.095
2019-12-08,0.08
2019-12-15,0.095
2019-12-22,0.14
2019-12-29,0.14
2020-01-05,0.145
2020-01-12,0.125
2020-01-19,0.135
2020-01-26,0.125
2020-02-02,0.15
2020-02-09,0.145
2020-02-16,0.17
2020-02-23,0.19
2020-03-01,0.17
2020-03-08,0.165
2020-03-15,0.085
2020-03-22,0.08
2020-03-29,0.105
2020-04-05,0.255
2020-04-12,0.285
2020-04-19,0.27
2020-04-26,0.235
2020-05-03,0.335
2020-05-10,0.265
2020-05-17,0.555
2020-05-24,0.605
2020-05-31,0.57
2020-06-07,0.335
2020-06-14,0.355
2020-06-21,0.58
