date,piscine
2018-01-07,0.1225
2018-01-14,0.1175
2018-01-21,0.1025
2018-01-28,0.125
2018-02-04,0.11
2018-02-11,0.1175
2018-02-18,0.135
2018-02-25,0.14
2018-03-04,0.1675
2018-03-11,0.135
2018-03-18,0.1325
2018-03-25,0.155
2018-04-01,0.145
2018-04-08,0.165
2018-04-15,0.2425
2018-04-22,0.2525
2018-04-29,0.2125
2018-05-06,0.3175
2018-05-13,0.1675
2018-05-20,0.24
2018-05-27,0.225
2018-06-03,0.3075
2018-06-10,0.21
2018-06-17,0.2475
2018-06-24,0.36
2018-07-01,0.44
2018-07-08,0.415
2018-07-15,0.395
2018-07-22,0.5475
2018-07-29,0.5975
2018-08-05,0.4975
2018-08-12,0.3225
2018-08-19,0.2675
2018-08-26,0.175
2018-09-02,0.18
2018-09-09,0.1975
2018-09-16,0.1725
2018-09-23,0.12
2018-09-30,0.115
2018-10-07,0.115
2018-10-14,0.1175
2018-10-21,0.14
2018-10-28,0.13
2018-11-04,0.095
2018-11-11,0.09
2018-11-18,0.09
2018-11-25,0.08
2018-12-02,0.0675
2018-12-09,0.07
2018-12-16,0.0725
2018-12-23,0.12
2018-12-30,0.1275
2019-01-06,0.1125
2019-01-13,0.125
2019-01-20,0.1125
2019-01-27,0.1075
2019-02-03,0.125
2019-02-10,0.1675
2019-02-17,0.175
2019-02-24,0.145
2019-03-03,0.13
2019-03-10,0.135
2019-03-17,0.1525
2019-03-24,0.16
2019-03-31,0.155
2019-04-07,0.18
2019-04-14,0.2075
2019-04-21,0.205
2019-04-28,0.1925
2019-05-05,0.1725
2019-05-12,0.1525
2019-05-19,0.1575
2019-05-26,0.28
2019-06-02,0.375
2019-06-09,0.24
2019-06-16,0.3675
2019-06-23,1.0
2019-06-30,0.6025
2019-07-07,0.33
2019-07-14,0.3275
2019-07-21,0.5675
2019-07-28,0.3125
2019-08-04,0.305
2019-08-11,0.235
2019-08-18,0.2675
2019-08-25,0.32
2019-09-01,0.2125
2019-09-08,0.17
2019-09-15,0.175
2019-09-22,0.14
2019-09-29,0.125
2019-10-06,0.1175
2019-10-13,0.115
2019-10-20,0.1475
2019-10-27,0.1475
2019-11-03,0.115
2019-11-10,0.1075
2019-11-17,0.0875
2019-11-24,0.08
2019-12-01,0.0875
2019-12-08,0.0775
2019-12-15,0.095
2019-12-22,0.1225
2019-12-29,0.145
2020-01-05,0.125
2020-01-12,0.1375
2020-01-19,0.135
2020-01-26,0.13
2020-02-02,0.125
2020-02-09,0.135
2020-02-16,0.1975
2020-02-23,0.1825
2020-03-01,0.145
2020-03-08,0.1525
2020-03-15,0.055
2020-03-22,0.06
2020-03-29,0.08
2020-04-05,0.2075
2020-04-12,0.225
2020-04-19,0.2575
2020-04-26,0.1925
2020-05-03,0.21
2020-05-10,0.2
2020-05-17,0.4925
2020-05-24,0.45
2020-05-31,0.4625
2020-06-07,0.27
2020-06-14,0.27
2020-06-21,0.51
