geoName,geoCode,piscine
Brittany,FR-E,62.244897959183675
Centre-Val de Loire,FR-F,88.77551020408163
Corsica,FR-H,69.38775510204081
Pays de la Loire,FR-R,89.79591836734694
Provence-Alpes-Côte d'Azur,FR-U,81.63265306122449
Île-de-France,FR-J,45.91836734693878
Grand-est,FR-GE,79.25170068027212
Hauts-de-france,FR-HF,79.08163265306123
Normandie,FR-NO,70.40816326530613
Bourgogne-Franche-Comté,FR-BFC,89.79591836734694
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,97.44897959183673
Auvergne-Rhône-Alpes,FR-AR,88.77551020408163
