geoName,geoCode,entreprise paysagiste
Brittany,FR-E,80.0
Centre-Val de Loire,FR-F,100.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,67.0
Provence-Alpes-Côte d'Azur,FR-U,34.0
Île-de-France,FR-J,18.0
Grand-est,FR-GE,28.666666666666668
Hauts-de-france,FR-HF,28.0
Normandie,FR-NO,29.0
Bourgogne-Franche-Comté,FR-BFC,0.0
Nouvelle-Aquitaine,FR-NA,48.0
Occitanie,FR-OC,23.0
Auvergne-Rhône-Alpes,FR-AR,21.0
