geoName,geoCode,Artisan peintre
Brittany,FR-E,80.48780487804879
Centre-Val de Loire,FR-F,34.75609756097561
Corsica,FR-H,0.0
Pays de la Loire,FR-R,34.75609756097561
Provence-Alpes-Côte d'Azur,FR-U,34.75609756097561
Île-de-France,FR-J,27.439024390243905
Grand-est,FR-GE,19.51219512195122
Hauts-de-france,FR-HF,11.890243902439025
Normandie,FR-NO,68.59756097560977
Bourgogne-Franche-Comté,FR-BFC,0.0
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,62.19512195121951
Auvergne-Rhône-Alpes,FR-AR,15.548780487804878
