geoName,geoCode,Tischdeko Hochzeit
Baden-Württemberg,DE-BW,53
Bavaria,DE-BY,63
Berlin,DE-BE,40
Brandenburg,DE-BB,100
Bremen,DE-HB,0
Hamburg,DE-HH,47
Hesse,DE-HE,51
Lower Saxony,DE-NI,56
Mecklenburg-Vorpommern,DE-MV,49
North Rhine-Westphalia,DE-NW,45
Rhineland-Palatinate,DE-RP,63
Saarland,DE-SL,0
Saxony,DE-SN,27
Saxony-Anhalt,DE-ST,49
Schleswig-Holstein,DE-SH,73
Thuringia,DE-TH,73
