Year,ticket_geo_region_name,Spend_type,Distribution
2018,Baden-Württemberg,Günstige Hochzeit,0.18
2018,Baden-Württemberg,Kosten Hochzeit,0.42
2018,Baden-Württemberg,Hochzeit Geld,0.28
2018,Baden-Württemberg,Hochzeit Preis,0.12
2018,Bayern,Günstige Hochzeit,0.16
2018,Bayern,Kosten Hochzeit,0.42
2018,Bayern,Hochzeit Geld,0.32
2018,Bayern,Hochzeit Preis,0.11
2018,Berlin,Günstige Hochzeit,0.26
2018,Berlin,Kosten Hochzeit,0.44
2018,Berlin,Hochzeit Geld,0.3
2018,Berlin,Hochzeit Preis,NA
2018,Brandenburg,Günstige Hochzeit,NA
2018,Brandenburg,Kosten Hochzeit,0.39
2018,Brandenburg,Hochzeit Geld,0.61
2018,Brandenburg,Hochzeit Preis,NA
2018,Bremen,Günstige Hochzeit,NA
2018,Bremen,Kosten Hochzeit,1.0
2018,Bremen,Hochzeit Geld,NA
2018,Bremen,Hochzeit Preis,NA
2018,Deutschland,Günstige Hochzeit,0.16
2018,Deutschland,Kosten Hochzeit,0.42
2018,Deutschland,Hochzeit Geld,0.34
2018,Deutschland,Hochzeit Preis,NA8
2018,Hamburg,Günstige Hochzeit,NA
2018,Hamburg,Kosten Hochzeit,0.61
2018,Hamburg,Hochzeit Geld,0.39
2018,Hamburg,Hochzeit Preis,NA
2018,Hessen,Günstige Hochzeit,0.17
2018,Hessen,Kosten Hochzeit,0.41
2018,Hessen,Hochzeit Geld,0.3
2018,Hessen,Hochzeit Preis,0.11
2018,Niedersachsen,Günstige Hochzeit,0.21
2018,Niedersachsen,Kosten Hochzeit,0.37
2018,Niedersachsen,Hochzeit Geld,0.35
2018,Niedersachsen,Hochzeit Preis,NA7
2018,Mecklenburg-Vorpommern,Günstige Hochzeit,NA
2018,Mecklenburg-Vorpommern,Kosten Hochzeit,0.39
2018,Mecklenburg-Vorpommern,Hochzeit Geld,0.61
2018,Mecklenburg-Vorpommern,Hochzeit Preis,NA
2018,Nordrhein-Westfalen,Günstige Hochzeit,0.17
2018,Nordrhein-Westfalen,Kosten Hochzeit,0.42
2018,Nordrhein-Westfalen,Hochzeit Geld,0.31
2018,Nordrhein-Westfalen,Hochzeit Preis,0.11
2018,Rheinland-Pfalz,Günstige Hochzeit,0.19
2018,Rheinland-Pfalz,Kosten Hochzeit,0.48
2018,Rheinland-Pfalz,Hochzeit Geld,0.33
2018,Rheinland-Pfalz,Hochzeit Preis,NA
2018,Saarland,Günstige Hochzeit,NA
2018,Saarland,Kosten Hochzeit,NA
2018,Saarland,Hochzeit Geld,1.0
2018,Saarland,Hochzeit Preis,NA
2018,Sachsen,Günstige Hochzeit,0.2
2018,Sachsen,Kosten Hochzeit,0.41
2018,Sachsen,Hochzeit Geld,0.39
2018,Sachsen,Hochzeit Preis,NA
2018,Sachsen-Anhalt,Günstige Hochzeit,NA
2018,Sachsen-Anhalt,Kosten Hochzeit,0.52
2018,Sachsen-Anhalt,Hochzeit Geld,0.48
2018,Sachsen-Anhalt,Hochzeit Preis,NA
2018,Schleswig-Holstein,Günstige Hochzeit,0.14
2018,Schleswig-Holstein,Kosten Hochzeit,0.45
2018,Schleswig-Holstein,Hochzeit Geld,0.41
2018,Schleswig-Holstein,Hochzeit Preis,NA
2018,Thüringen,Günstige Hochzeit,NA
2018,Thüringen,Kosten Hochzeit,0.47
2018,Thüringen,Hochzeit Geld,0.53
2018,Thüringen,Hochzeit Preis,NA
2019,Baden-Württemberg,Günstige Hochzeit,0.13
2019,Baden-Württemberg,Kosten Hochzeit,0.41
2019,Baden-Württemberg,Hochzeit Geld,0.35
2019,Baden-Württemberg,Hochzeit Preis,0.1
2019,Bayern,Günstige Hochzeit,0.15
2019,Bayern,Kosten Hochzeit,0.4
2019,Bayern,Hochzeit Geld,0.34
2019,Bayern,Hochzeit Preis,0.1
2019,Berlin,Günstige Hochzeit,0.17
2019,Berlin,Kosten Hochzeit,0.49
2019,Berlin,Hochzeit Geld,0.34
2019,Berlin,Hochzeit Preis,NA
2019,Brandenburg,Günstige Hochzeit,NA
2019,Brandenburg,Kosten Hochzeit,0.51
2019,Brandenburg,Hochzeit Geld,0.49
2019,Brandenburg,Hochzeit Preis,NA
2019,Bremen,Günstige Hochzeit,NA
2019,Bremen,Kosten Hochzeit,1.0
2019,Bremen,Hochzeit Geld,NA
2019,Bremen,Hochzeit Preis,NA
2019,Deutschland,Günstige Hochzeit,0.13
2019,Deutschland,Kosten Hochzeit,0.46
2019,Deutschland,Hochzeit Geld,0.34
2019,Deutschland,Hochzeit Preis,NA8
2019,Hamburg,Günstige Hochzeit,NA
2019,Hamburg,Kosten Hochzeit,0.55
2019,Hamburg,Hochzeit Geld,0.45
2019,Hamburg,Hochzeit Preis,NA
2019,Hessen,Günstige Hochzeit,0.14
2019,Hessen,Kosten Hochzeit,0.49
2019,Hessen,Hochzeit Geld,0.29
2019,Hessen,Hochzeit Preis,NA8
2019,Niedersachsen,Günstige Hochzeit,0.19
2019,Niedersachsen,Kosten Hochzeit,0.35
2019,Niedersachsen,Hochzeit Geld,0.36
2019,Niedersachsen,Hochzeit Preis,NA9
2019,Mecklenburg-Vorpommern,Günstige Hochzeit,NA
2019,Mecklenburg-Vorpommern,Kosten Hochzeit,0.43
2019,Mecklenburg-Vorpommern,Hochzeit Geld,0.57
2019,Mecklenburg-Vorpommern,Hochzeit Preis,NA
2019,Nordrhein-Westfalen,Günstige Hochzeit,0.15
2019,Nordrhein-Westfalen,Kosten Hochzeit,0.44
2019,Nordrhein-Westfalen,Hochzeit Geld,0.29
2019,Nordrhein-Westfalen,Hochzeit Preis,0.12
2019,Rheinland-Pfalz,Günstige Hochzeit,0.15
2019,Rheinland-Pfalz,Kosten Hochzeit,0.5
2019,Rheinland-Pfalz,Hochzeit Geld,0.36
2019,Rheinland-Pfalz,Hochzeit Preis,NA
2019,Saarland,Günstige Hochzeit,NA
2019,Saarland,Kosten Hochzeit,NA
2019,Saarland,Hochzeit Geld,1.0
2019,Saarland,Hochzeit Preis,NA
2019,Sachsen,Günstige Hochzeit,0.12
2019,Sachsen,Kosten Hochzeit,0.5
2019,Sachsen,Hochzeit Geld,0.38
2019,Sachsen,Hochzeit Preis,NA
2019,Sachsen-Anhalt,Günstige Hochzeit,NA
2019,Sachsen-Anhalt,Kosten Hochzeit,0.62
2019,Sachsen-Anhalt,Hochzeit Geld,0.38
2019,Sachsen-Anhalt,Hochzeit Preis,NA
2019,Schleswig-Holstein,Günstige Hochzeit,0.1
2019,Schleswig-Holstein,Kosten Hochzeit,0.52
2019,Schleswig-Holstein,Hochzeit Geld,0.39
2019,Schleswig-Holstein,Hochzeit Preis,NA
2019,Thüringen,Günstige Hochzeit,NA
2019,Thüringen,Kosten Hochzeit,0.47
2019,Thüringen,Hochzeit Geld,0.53
2019,Thüringen,Hochzeit Preis,NA
2020,Baden-Württemberg,Günstige Hochzeit,0.11
2020,Baden-Württemberg,Kosten Hochzeit,0.55
2020,Baden-Württemberg,Hochzeit Geld,0.19
2020,Baden-Württemberg,Hochzeit Preis,0.15
2020,Bayern,Günstige Hochzeit,0.11
2020,Bayern,Kosten Hochzeit,0.5
2020,Bayern,Hochzeit Geld,0.19
2020,Bayern,Hochzeit Preis,0.2
2020,Berlin,Günstige Hochzeit,0.2
2020,Berlin,Kosten Hochzeit,0.42
2020,Berlin,Hochzeit Geld,0.37
2020,Berlin,Hochzeit Preis,NA
2020,Brandenburg,Günstige Hochzeit,NA
2020,Brandenburg,Kosten Hochzeit,0.6
2020,Brandenburg,Hochzeit Geld,0.4
2020,Brandenburg,Hochzeit Preis,NA
2020,Bremen,Günstige Hochzeit,NA
2020,Bremen,Kosten Hochzeit,1.0
2020,Bremen,Hochzeit Geld,NA
2020,Bremen,Hochzeit Preis,NA
