ticket_geo_region_name,ticket_taxonomy_tag_name,year,Rank,Max,Min,Demand_factor_max_to_min
Baden-Württemberg,Hochzeitstorte,2018,1,5.0,11.0,3.45
Baden-Württemberg,Hochzeitsfotos,2018,2,5.0,10.0,3.77
Baden-Württemberg,Blumen,2018,3,8.0,9.0,20.75
Baden-Württemberg,Hochzeitsringe,2018,4,7.0,8.0,19.2
Baden-Württemberg,Braut Make Up,2018,5,9.0,0.0,19.0
Bayern,Hochzeitstorte,2018,1,5.0,10.0,3.91
Bayern,Blumen,2018,2,8.0,9.0,20.75
Bayern,Hochzeitsfotos,2018,3,5.0,11.0,3.05
Bayern,Hochzeitsringe,2018,4,7.0,8.0,19.2
Bayern,Braut Make Up,2018,5,9.0,0.0,19.0
Berlin,Hochzeitstorte,2018,1,5.0,11.0,2.37
Berlin,Hochzeitsfotos,2018,2,5.0,1.0,37.25
Berlin,Blumen,2018,3,8.0,9.0,20.75
Berlin,Hochzeitsringe,2018,4,7.0,8.0,19.2
Berlin,Braut Make Up,2018,5,9.0,0.0,19.0
Brandenburg,Tanzkurs,2018,1,2.0,7.0,2.63
Brandenburg,Hochzeitstorte,2018,2,5.0,2.0,15.5
Brandenburg,Hochzeitsringe,2018,3,7.0,1.0,13.8
Brandenburg,Braut Make Up,2018,4,,,
Brandenburg,Blumen,2018,5,,,
Bremen,Hochzeitstorte,2018,1,8.0,9.0,42.0
Bremen,Blumen,2018,2,8.0,9.0,20.75
Bremen,Hochzeitsringe,2018,3,7.0,8.0,19.2
Bremen,Braut Make Up,2018,4,9.0,0.0,19.0
Bremen,Hochzeitsfotos,2018,5,5.0,0.0,16.75
Deutschland,Hochzeitstorte,2018,1,5.0,11.0,2.75
Deutschland,Hochzeitsfotos,2018,2,5.0,0.0,3.35
Deutschland,Blumen,2018,3,8.0,9.0,20.75
Deutschland,Hochzeitsringe,2018,4,7.0,8.0,19.2
Deutschland,Braut Make Up,2018,5,9.0,0.0,19.0
Hamburg,Hochzeitstorte,2018,1,6.0,10.0,3.55
Hamburg,Hochzeitsfotos,2018,2,5.0,1.0,30.0
Hamburg,Blumen,2018,3,8.0,9.0,20.75
Hamburg,Hochzeitsringe,2018,4,7.0,8.0,19.2
Hamburg,Braut Make Up,2018,5,9.0,0.0,19.0
Hessen,Hochzeitstorte,2018,1,5.0,10.0,2.15
Hessen,Hochzeitsfotos,2018,2,8.0,2.0,2.4
Hessen,Blumen,2018,3,8.0,9.0,20.75
Hessen,Hochzeitsringe,2018,4,7.0,8.0,19.2
Hessen,Braut Make Up,2018,5,9.0,0.0,19.0
Niedersachsen,Hochzeitstorte,2018,1,2.0,11.0,2.7
Niedersachsen,Hochzeitsfotos,2018,2,5.0,9.0,5.04
Niedersachsen,Blumen,2018,3,4.0,5.0,3.9
Niedersachsen,Braut Make Up,2018,4,3.0,11.0,10.11
Niedersachsen,Musik Hochzeit,2018,5,5.0,1.0,6.09
Mecklenburg-Vorpommern,Braut Make Up,2018,1,,,
Mecklenburg-Vorpommern,Blumen,2018,2,,,
Mecklenburg-Vorpommern,Hochzeitsringe,2018,3,,,
Mecklenburg-Vorpommern,Hochzeitscatering,2018,4,,,
Mecklenburg-Vorpommern,Hochzeitstorte,2018,5,,,
Nordrhein-Westfalen,Hochzeitstorte,2018,1,3.0,11.0,2.43
Nordrhein-Westfalen,Hochzeitsfotos,2018,2,5.0,10.0,3.88
Nordrhein-Westfalen,Blumen,2018,3,8.0,9.0,20.75
Nordrhein-Westfalen,Hochzeitsringe,2018,4,7.0,8.0,19.2
Nordrhein-Westfalen,Braut Make Up,2018,5,9.0,0.0,19.0
Rheinland-Pfalz,Hochzeitstorte,2018,1,7.0,9.0,5.41
Rheinland-Pfalz,Blumen,2018,2,8.0,9.0,20.75
Rheinland-Pfalz,Hochzeitsringe,2018,3,7.0,8.0,19.2
Rheinland-Pfalz,Braut Make Up,2018,4,9.0,0.0,19.0
Rheinland-Pfalz,Hochzeitsfotos,2018,5,8.0,3.0,9.25
