geoName,geoCode,Einfahrt pflastern
Baden-Württemberg,DE-BW,68
Bavaria,DE-BY,50
Berlin,DE-BE,73
Brandenburg,DE-BB,80
Bremen,DE-HB,0
Hamburg,DE-HH,66
Hesse,DE-HE,72
Lower Saxony,DE-NI,100
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,56
Rhineland-Palatinate,DE-RP,34
Saarland,DE-SL,0
Saxony,DE-SN,79
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,47
Thuringia,DE-TH,0
