date,Einfahrt pflastern,isPartial
2018-01-07,56,False
2018-01-14,32,False
2018-01-21,40,False
2018-01-28,63,False
2018-02-04,24,False
2018-02-11,73,False
2018-02-18,57,False
2018-02-25,48,False
2018-03-04,56,False
2018-03-11,72,False
2018-03-18,40,False
2018-03-25,69,False
2018-04-01,52,False
2018-04-08,75,False
2018-04-15,85,False
2018-04-22,65,False
2018-04-29,85,False
2018-05-06,26,False
2018-05-13,65,False
2018-05-20,52,False
2018-05-27,58,False
2018-06-03,82,False
2018-06-10,31,False
2018-06-17,32,False
2018-06-24,41,False
2018-07-01,16,False
2018-07-08,24,False
2018-07-15,42,False
2018-07-22,34,False
2018-07-29,51,False
2018-08-05,42,False
2018-08-12,85,False
2018-08-19,25,False
2018-08-26,58,False
2018-09-02,66,False
2018-09-09,16,False
2018-09-16,33,False
2018-09-23,90,False
2018-09-30,41,False
2018-10-07,49,False
2018-10-14,24,False
2018-10-21,16,False
2018-10-28,63,False
2018-11-04,31,False
2018-11-11,48,False
2018-11-18,15,False
2018-11-25,47,False
2018-12-02,47,False
2018-12-09,24,False
2018-12-16,16,False
2018-12-23,37,False
2018-12-30,67,False
2019-01-06,30,False
2019-01-13,22,False
2019-01-20,15,False
2019-01-27,59,False
2019-02-03,38,False
2019-02-10,38,False
2019-02-17,100,False
2019-02-24,71,False
2019-03-03,30,False
2019-03-10,75,False
2019-03-17,71,False
2019-03-24,86,False
2019-03-31,71,False
2019-04-07,84,False
2019-04-14,93,False
2019-04-21,57,False
2019-04-28,62,False
2019-05-05,83,False
2019-05-12,54,False
2019-05-19,69,False
2019-05-26,87,False
2019-06-02,69,False
2019-06-09,63,False
2019-06-16,71,False
2019-06-23,94,False
2019-06-30,62,False
2019-07-07,46,False
2019-07-14,48,False
2019-07-21,50,False
2019-07-28,24,False
2019-08-04,66,False
2019-08-11,47,False
2019-08-18,56,False
2019-08-25,70,False
2019-09-01,76,False
2019-09-08,39,False
2019-09-15,31,False
2019-09-22,52,False
2019-09-29,38,False
2019-10-06,60,False
2019-10-13,30,False
2019-10-20,37,False
2019-10-27,29,False
2019-11-03,49,False
2019-11-10,29,False
2019-11-17,29,False
2019-11-24,28,False
2019-12-01,29,False
2019-12-08,36,False
2019-12-15,15,False
2019-12-22,33,False
2019-12-29,23,False
2020-01-05,35,False
2020-01-12,47,False
2020-01-19,41,False
2020-01-26,47,False
2020-02-02,34,False
2020-02-09,73,False
2020-02-16,21,False
2020-02-23,41,False
2020-03-01,60,False
2020-03-08,63,False
2020-03-15,31,False
2020-03-22,79,False
2020-03-29,67,False
2020-04-05,61,False
2020-04-12,71,False
2020-04-19,81,False
2020-04-26,49,False
2020-05-03,43,False
2020-05-10,99,False
