geoName,geoCode,Fliesen verlegen
Baden-Württemberg,DE-BW,50
Bavaria,DE-BY,47
Berlin,DE-BE,42
Brandenburg,DE-BB,54
Bremen,DE-HB,64
Hamburg,DE-HH,29
Hesse,DE-HE,45
Lower Saxony,DE-NI,55
Mecklenburg-Vorpommern,DE-MV,53
North Rhine-Westphalia,DE-NW,58
Rhineland-Palatinate,DE-RP,59
Saarland,DE-SL,100
Saxony,DE-SN,46
Saxony-Anhalt,DE-ST,61
Schleswig-Holstein,DE-SH,52
Thuringia,DE-TH,49
