geoName,geoCode,bodas
Andalusia,ES-AN,84
Aragon,ES-AR,90
Asturias,ES-AS,64
Balearic Islands,ES-IB,47
Basque Country,ES-PV,60
Canary Islands,ES-CN,47
Cantabria,ES-CB,67
Castile and León,ES-CL,74
Castile-La Mancha,ES-CM,93
Catalonia,ES-CT,52
Ceuta,ES-CE,43
Community of Madrid,ES-MD,78
Extremadura,ES-EX,100
Galicia,ES-GA,67
La Rioja,ES-RI,53
Melilla,ES-ML,82
Navarre,ES-NC,60
Region of Murcia,ES-MC,73
Valencian Community,ES-VC,63
