date,fotografa,isPartial
2018-01-07,57,False
2018-01-14,41,False
2018-01-21,48,False
2018-01-28,43,False
2018-02-04,53,False
2018-02-11,33,False
2018-02-18,49,False
2018-02-25,40,False
2018-03-04,46,False
2018-03-11,100,False
2018-03-18,43,False
2018-03-25,40,False
2018-04-01,46,False
2018-04-08,46,False
2018-04-15,40,False
2018-04-22,30,False
2018-04-29,29,False
2018-05-06,51,False
2018-05-13,31,False
2018-05-20,27,False
2018-05-27,27,False
2018-06-03,48,False
2018-06-10,33,False
2018-06-17,35,False
2018-06-24,34,False
2018-07-01,30,False
2018-07-08,46,False
2018-07-15,48,False
2018-07-22,43,False
2018-07-29,32,False
2018-08-05,27,False
2018-08-12,34,False
2018-08-19,38,False
2018-08-26,35,False
2018-09-02,53,False
2018-09-09,43,False
2018-09-16,44,False
2018-09-23,44,False
2018-09-30,43,False
2018-10-07,51,False
2018-10-14,41,False
2018-10-21,54,False
2018-10-28,45,False
2018-11-04,38,False
2018-11-11,27,False
2018-11-18,48,False
2018-11-25,57,False
2018-12-02,40,False
2018-12-09,41,False
2018-12-16,42,False
2018-12-23,40,False
2018-12-30,43,False
2019-01-06,64,False
2019-01-13,50,False
2019-01-20,43,False
2019-01-27,48,False
2019-02-03,36,False
2019-02-10,62,False
2019-02-17,48,False
2019-02-24,47,False
2019-03-03,51,False
2019-03-10,43,False
2019-03-17,57,False
2019-03-24,47,False
2019-03-31,52,False
2019-04-07,36,False
2019-04-14,43,False
2019-04-21,36,False
2019-04-28,43,False
2019-05-05,62,False
2019-05-12,63,False
2019-05-19,45,False
2019-05-26,77,False
2019-06-02,47,False
2019-06-09,47,False
2019-06-16,43,False
2019-06-23,37,False
2019-06-30,37,False
2019-07-07,51,False
2019-07-14,37,False
2019-07-21,36,False
2019-07-28,31,False
2019-08-04,39,False
2019-08-11,35,False
2019-08-18,33,False
2019-08-25,51,False
2019-09-01,38,False
2019-09-08,52,False
2019-09-15,35,False
2019-09-22,51,False
2019-09-29,48,False
2019-10-06,51,False
2019-10-13,40,False
2019-10-20,54,False
2019-10-27,37,False
2019-11-03,54,False
2019-11-10,39,False
2019-11-17,48,False
2019-11-24,50,False
2019-12-01,68,False
2019-12-08,49,False
2019-12-15,46,False
2019-12-22,39,False
2019-12-29,52,False
2020-01-05,41,False
2020-01-12,45,False
2020-01-19,49,False
2020-01-26,52,False
2020-02-02,49,False
2020-02-09,65,False
2020-02-16,53,False
2020-02-23,26,False
2020-03-01,36,False
2020-03-08,27,False
2020-03-15,32,False
2020-03-22,30,False
2020-03-29,34,False
2020-04-05,45,False
2020-04-12,33,False
2020-04-19,34,False
2020-04-26,50,True
