geoName,geoCode,Jalousien
Burgenland,AT-1,41
Carinthia,AT-2,66
Lower Austria,AT-3,86
Salzburg,AT-5,47
Styria,AT-6,81
Tyrol,AT-7,82
Upper Austria,AT-4,61
Vienna,AT-9,100
Vorarlberg,AT-8,71
