geoName,geoCode,Abbruch
Baden-Württemberg,DE-BW,82
Bavaria,DE-BY,73
Berlin,DE-BE,61
Brandenburg,DE-BB,52
Bremen,DE-HB,91
Hamburg,DE-HH,77
Hesse,DE-HE,71
Lower Saxony,DE-NI,83
Mecklenburg-Vorpommern,DE-MV,56
North Rhine-Westphalia,DE-NW,77
Rhineland-Palatinate,DE-RP,70
Saarland,DE-SL,53
Saxony,DE-SN,73
Saxony-Anhalt,DE-ST,54
Schleswig-Holstein,DE-SH,100
Thuringia,DE-TH,75
