date,ristoranti matrimonio,isPartial
2018-01-07,50,False
2018-01-14,86,False
2018-01-21,55,False
2018-01-28,72,False
2018-02-04,42,False
2018-02-11,30,False
2018-02-18,35,False
2018-02-25,41,False
2018-03-04,41,False
2018-03-11,54,False
2018-03-18,42,False
2018-03-25,70,False
2018-04-01,39,False
2018-04-08,49,False
2018-04-15,37,False
2018-04-22,51,False
2018-04-29,25,False
2018-05-06,24,False
2018-05-13,85,False
2018-05-20,97,False
2018-05-27,80,False
2018-06-03,74,False
2018-06-10,65,False
2018-06-17,24,False
2018-06-24,86,False
2018-07-01,61,False
2018-07-08,55,False
2018-07-15,56,False
2018-07-22,25,False
2018-07-29,44,False
2018-08-05,58,False
2018-08-12,62,False
2018-08-19,47,False
2018-08-26,62,False
2018-09-02,83,False
2018-09-09,84,False
2018-09-16,76,False
2018-09-23,72,False
2018-09-30,36,False
2018-10-07,80,False
2018-10-14,62,False
2018-10-21,54,False
2018-10-28,54,False
2018-11-04,29,False
2018-11-11,37,False
2018-11-18,18,False
2018-11-25,30,False
2018-12-02,31,False
2018-12-09,37,False
2018-12-16,38,False
2018-12-23,36,False
2018-12-30,66,False
2019-01-06,43,False
2019-01-13,77,False
2019-01-20,52,False
2019-01-27,79,False
2019-02-03,17,False
2019-02-10,58,False
2019-02-17,53,False
2019-02-24,58,False
2019-03-03,55,False
2019-03-10,60,False
2019-03-17,67,False
2019-03-24,24,False
2019-03-31,36,False
2019-04-07,47,False
2019-04-14,61,False
2019-04-21,71,False
2019-04-28,84,False
2019-05-05,46,False
2019-05-12,69,False
2019-05-19,52,False
2019-05-26,72,False
2019-06-02,66,False
2019-06-09,90,False
2019-06-16,48,False
2019-06-23,49,False
2019-06-30,55,False
2019-07-07,41,False
2019-07-14,61,False
2019-07-21,43,False
2019-07-28,50,False
2019-08-04,71,False
2019-08-11,55,False
2019-08-18,51,False
2019-08-25,29,False
2019-09-01,44,False
2019-09-08,46,False
2019-09-15,100,False
2019-09-22,67,False
2019-09-29,62,False
2019-10-06,74,False
2019-10-13,34,False
2019-10-20,60,False
2019-10-27,28,False
2019-11-03,43,False
2019-11-10,22,False
2019-11-17,38,False
2019-11-24,38,False
2019-12-01,23,False
2019-12-08,11,False
2019-12-15,34,False
2019-12-22,79,False
2019-12-29,25,False
2020-01-05,61,False
2020-01-12,57,False
2020-01-19,58,False
2020-01-26,36,False
2020-02-02,51,False
2020-02-09,53,False
2020-02-16,37,False
2020-02-23,20,False
2020-03-01,25,False
2020-03-08,24,False
2020-03-15,10,False
2020-03-22,27,False
2020-03-29,18,False
2020-04-05,19,False
2020-04-12,34,False
2020-04-19,27,False
2020-04-26,32,True
